epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,125.503,1.43638,0.93107,1.27478,0.96085,0.98206,0.98731,0.54407,1.55267,0.8512,1.49794,0.000423751,0.000423751,0.000423751
115,126.614,1.44704,0.96997,1.26017,0.96153,0.99975,0.98731,0.56275,1.51394,0.84127,1.47782,0.000412749,0.000412749,0.000412749
116,127.749,1.4782,0.97384,1.24502,0.96153,0.99981,0.99038,0.59567,1.36092,0.74959,1.40649,0.000401747,0.000401747,0.000401747
117,128.858,1.48073,0.96905,1.2539,0.95046,1,0.99038,0.61006,1.32956,0.74342,1.38595,0.000390745,0.000390745,0.000390745
118,129.992,1.53973,1.02722,1.32624,0.94871,1,0.98423,0.63295,1.30315,0.8319,1.36049,0.000379743,0.000379743,0.000379743
119,131.096,1.49247,1.02647,1.29322,0.95988,0.95706,0.97073,0.61938,1.36548,0.92812,1.38865,0.00036874,0.00036874,0.00036874
120,132.228,1.47814,0.95002,1.25883,0.93615,0.96,0.97553,0.57513,1.46867,1.00131,1.45044,0.000357738,0.000357738,0.000357738
121,133.321,1.42854,0.94879,1.25024,0.96153,0.99971,0.98577,0.57724,1.44465,0.8752,1.442,0.000346736,0.000346736,0.000346736
122,134.463,1.51543,1.00366,1.29151,0.9514,1,0.99038,0.62315,1.32691,0.75581,1.38475,0.000335734,0.000335734,0.000335734
123,135.559,1.44674,0.89727,1.19871,0.95301,1,0.99038,0.62525,1.31908,0.73446,1.37189,0.000324732,0.000324732,0.000324732
124,136.698,1.48085,0.93223,1.23484,0.95394,1,0.98885,0.6268,1.32544,0.7186,1.37766,0.000313729,0.000313729,0.000313729
125,137.843,1.37954,0.88389,1.21088,0.93135,1,0.98885,0.62482,1.33098,0.72523,1.38392,0.000302727,0.000302727,0.000302727
126,138.986,1.44344,0.97794,1.26373,0.9175,1,0.98437,0.61296,1.32879,0.74637,1.38227,0.000291725,0.000291725,0.000291725
127,140.102,1.42458,0.90667,1.21599,0.91674,1,0.98611,0.6252,1.31833,0.72816,1.37214,0.000280723,0.000280723,0.000280723
128,141.269,1.46643,0.97303,1.21377,0.99093,0.96,0.99204,0.61446,1.30801,0.68508,1.36267,0.000269721,0.000269721,0.000269721
129,142.384,1.41147,0.92424,1.26403,0.9604,0.97043,0.99346,0.61849,1.33016,0.69174,1.3768,0.000258718,0.000258718,0.000258718
130,143.521,1.43365,0.96035,1.2909,0.9515,0.96,0.99044,0.5644,1.42428,0.76238,1.42945,0.000247716,0.000247716,0.000247716
131,144.641,1.42615,0.9386,1.25863,0.95791,0.96,0.98884,0.5463,1.46975,0.81206,1.45243,0.000236714,0.000236714,0.000236714
132,145.786,1.46725,0.94816,1.24227,0.96126,0.99276,0.99346,0.57677,1.41644,0.75196,1.42139,0.000225712,0.000225712,0.000225712
133,146.88,1.43322,0.95977,1.26055,0.98935,0.96,0.99346,0.60381,1.34658,0.68544,1.38395,0.00021471,0.00021471,0.00021471
134,147.992,1.43231,0.91932,1.25541,0.99138,0.96,0.99346,0.61587,1.28656,0.66447,1.36001,0.000203707,0.000203707,0.000203707
135,149.105,1.40589,0.88291,1.20356,0.98587,0.96,0.99346,0.62815,1.29314,0.67021,1.36024,0.000192705,0.000192705,0.000192705
136,150.245,1.39331,0.87723,1.22124,0.9112,1,0.98884,0.62136,1.29841,0.7624,1.35695,0.000181703,0.000181703,0.000181703
137,151.35,1.41708,0.89329,1.22071,0.91934,1,0.98564,0.613,1.31338,0.84164,1.35963,0.000170701,0.000170701,0.000170701
138,152.502,1.43906,0.9168,1.236,0.96145,0.99767,0.98731,0.6183,1.30538,0.80823,1.36017,0.000159699,0.000159699,0.000159699
139,153.642,1.34953,0.86161,1.19258,0.96106,0.98751,0.99192,0.61162,1.32419,0.73584,1.37247,0.000148696,0.000148696,0.000148696
140,154.766,1.36959,0.88121,1.22468,0.9612,1,0.99346,0.5901,1.35839,0.66837,1.40259,0.000137694,0.000137694,0.000137694
141,173.733,1.33422,0.98223,1.25115,0.99164,0.96,0.99346,0.59552,1.35955,0.67315,1.40317,0.000126692,0.000126692,0.000126692
142,174.894,1.29623,0.90635,1.23497,0.98504,0.96,0.99346,0.593,1.3703,0.69939,1.40398,0.00011569,0.00011569,0.00011569
143,176.156,1.34853,0.89915,1.25403,0.96046,0.97204,0.99346,0.60183,1.3752,0.71272,1.40095,0.000104688,0.000104688,0.000104688
144,177.399,1.32465,0.89461,1.2541,0.93979,1,0.99038,0.61493,1.34998,0.72668,1.3778,9.36854e-05,9.36854e-05,9.36854e-05
145,178.429,1.32071,0.87539,1.23727,0.92804,1,0.99038,0.62686,1.33235,0.73226,1.36379,8.26832e-05,8.26832e-05,8.26832e-05
146,179.494,1.33772,0.86961,1.25638,0.92216,1,0.99038,0.63818,1.30557,0.73202,1.34826,7.1681e-05,7.1681e-05,7.1681e-05
147,180.522,1.3406,0.85423,1.23127,0.92216,1,0.99038,0.63416,1.29549,0.7233,1.34805,6.06788e-05,6.06788e-05,6.06788e-05
148,181.557,1.34148,0.87029,1.20979,0.92195,1,0.99192,0.63331,1.29193,0.70232,1.34912,4.96766e-05,4.96766e-05,4.96766e-05
149,182.588,1.32723,0.84626,1.22787,0.92211,1,0.99192,0.63018,1.2944,0.70438,1.35285,3.86744e-05,3.86744e-05,3.86744e-05
150,183.626,1.34696,0.85387,1.2156,0.92091,1,0.99192,0.61768,1.30099,0.6955,1.35882,2.76722e-05,2.76722e-05,2.76722e-05
